Neighborhood,tripsnumber,revenue,tipamount,tippercentage,season
Carroll Gardens,67131,1227734.4,128519.87,0.1047,2
Flatbush,72,1338.7,127.05,0.0949,2
Laurelton,224,7261.39,462.73,0.0637,2
Canarsie,663,12168.69,761.15,0.0625,2
Tribeca,660094,9343664.12,913579.42,0.0978,2
The Rockaways,123,4441.71,294.13,0.0662,2
High Bridge,3078,56858.13,3420.67,0.0602,2
Midtown,6301878,75531918.1,6575755.96,0.0871,2
Saintalbans,177,3302.52,221.63,0.0671,2
Queensboro Hill,378,6430.34,367.28,0.0571,2
Tremont,615,9572.49,582.61,0.0609,2
Chelsea,2744211,32820509.4,3137209.84,0.0956,2
Carnegie Hill,367537,4360577.8,356608.3,0.0818,2
Douglastown-Little Neck,583,10687.45,657.52,0.0615,2
Murray Hill,1339047,15692971.11,1423692.71,0.0907,2
East Brooklyn,845,19558.21,1419.41,0.0726,2
Nkew Gardens,4059,100966.01,7205.81,0.0714,2
Springfield Gardens,1298,62774.2,5231.72,0.0833,2
Woodlawn-Nordwood,144,2369.63,81.63,0.0344,2
Hamilton Heights,68414,1109057.07,92518.84,0.0834,2
Parkchester,865,12582.68,727.56,0.0578,2
Bedford-Stuyvesant,17024,264196.18,21695.74,0.0821,2
Morris Park,445,8845.83,557.79,0.0631,2
Sunset Park,2034,35792.15,2598.97,0.0726,2
Country Club,109,2740.83,108.86,0.0397,2
Maspeth,3269,108879.98,8740.99,0.0803,2
Throggs Neck,216,3716.78,237.83,0.064,2
North Sutton Area,407183,4728656.12,400690.72,0.0847,2
Soundview,525,8961.39,615.78,0.0687,2
Glendale,395,7802.83,509.64,0.0653,2
Little Italy,362480,4733154.07,449032.43,0.0949,2
Riverdale,330,7172.05,508.45,0.0709,2
Fordham,375,6632.68,438.89,0.0662,2
Yorkville,291127,3714120.74,290831.34,0.0783,2
Kings Bridge,469,8409.05,471.42,0.0561,2
Spuyten Duyvil,196,4420.16,385.99,0.0873,2
Battery Park,330677,5459502.06,542513.87,0.0994,2
Financial District,825035,14107293.1,1356865.65,0.0962,3
Williamsburg,222858,3646912.07,368059.33,0.1009,3
West Village,1101121,14151374.26,1388162.08,0.0981,3
Ridgewood,1799,29169.92,2219.72,0.0761,3
Jackson Heights,26239,507262.29,35602.13,0.0702,3
Williams Bridge,169,3299.68,235.72,0.0714,3
Cobble Hill,26230,503518.55,55581.25,0.1104,3
Inwood,2423,46988.98,3920.7,0.0834,3
Harlem,170588,2384140.46,207049.22,0.0868,3
Auburndale,193,3544.57,164.94,0.0465,3
Gramercy,3170430,37675332.12,3727910.47,0.0989,3
Chelsea,2802109,34206830.17,3380016.68,0.0988,3
University Heights,440,7423.78,556.5,0.075,3
Greenwood,5182,95289.67,10459.19,0.1098,3
Wakefield-Williamsbridge,160,3247.82,102.6,0.0316,3
Park Slope,51585,832917.67,83228.41,0.0999,3
Chinatown,138039,1960004.63,155644.49,0.0794,3
Corona,1426,58551.69,6525.16,0.1114,3
South Bronx,1834,26687.01,1568.11,0.0588,3
Sunny Side,127182,2228127.6,184385.27,0.0828,3
Soho,927640,12215024.14,1188749.32,0.0973,3
Clearview,55,1306,110.6,0.0847,3
Dyker Heights,306,6507.24,463.83,0.0713,3
Upper West Side,3280449,39462262.17,3552545.37,0.09,3
Queens Village,247,4495.98,255.38,0.0568,3
Bay Ridge,1716,34086.12,2959.04,0.0868,3
Woodhaven-Richmond Hill,1337,28698.58,1820.48,0.0634,3
Jamaica,9105,476709.78,41387.02,0.0868,3
Bedford Park,526,11564.24,904.03,0.0782,3
East Village,1434543,18597236.4,1848721.32,0.0994,3
Hunts Point,219,3432.43,235.96,0.0687,3
Gravesend-Sheepshead Bay,1149,21908.23,1792.73,0.0818,3
Lower East Side,919634,13065921.46,1260918.56,0.0965,3
Mapleton-Flatlands,3289,54787.3,4084.12,0.0745,3
Baychester,34,744.53,37.04,0.0497,3
Upper East Side,5354662,63458782.8,5572530.21,0.0878,3
Union Port,467,7811.1,508.76,0.0651,3
Central Park,541953,6483861.94,555417.14,0.0857,3
Woodside,28019,441282.16,26802.09,0.0607,3
Greenwich Village,1909164,23611190.35,2275499.96,0.0964,3
Forest Hills,12837,271851.97,21070.2,0.0775,3
Middle Village,707,12452.06,712.81,0.0572,3
Downtown,95428,1623880.46,153924.3,0.0948,3
Morris Heights,652,10546.42,631.11,0.0598,3
Steinway,37,608.02,68.52,0.1127,3
Utopia,3245,99518.4,7992.4,0.0803,3
Boerum Hill,56306,890498.54,86031.55,0.0966,3
Fort Green,108652,1765517.85,170892.35,0.0968,3
Brownsville,508,9050.08,712.71,0.0788,3
Bushwick,14412,231899.35,22501.76,0.097,3
Clinton,1289927,16073422.08,1415817.88,0.0881,3
City Island,14,508.22,61.06,0.1201,3
Borough Park,4158,83933.9,7468.54,0.089,3
Parkchester,664,11239.39,702.23,0.0625,3
Astoria-Long Island City,166386,2590134.45,197652.86,0.0763,3
Garment District,2084086,25543582.68,2132318.76,0.0835,3
Morningside Heights,267978,3849948.98,369998.05,0.0961,3
Flushing,5909,168575,14128.63,0.0838,3
East Harlem,113586,1494863.73,112550.12,0.0753,3
Mott Haven,7339,110810.28,6038.77,0.0545,3
Washington Heights,45034,893608.96,84809.32,0.0949,3
Carroll Gardens,72338,1346023.64,144968.38,0.1077,3
Flatbush,79,1319,137.01,0.1039,3
Laurelton,200,5206.43,362.21,0.0696,3
Canarsie,496,10299.02,964.59,0.0937,3
Tribeca,723162,10239350.3,1045392.04,0.1021,3
The Rockaways,112,3369.54,360.91,0.1071,3
High Bridge,2409,41879.06,2633.34,0.0629,3
Midtown,6290634,77583141.56,7061708.45,0.091,3
Saintalbans,141,2850.08,236.44,0.083,3
Queensboro Hill,370,5986.24,382.55,0.0639,3
Tremont,455,7656.6,432.08,0.0564,3
Bensonhurst,521,9672.31,689.6,0.0713,3
Carnegie Hill,485876,5789846.52,494778.64,0.0855,3
Douglastown-Little Neck,476,10369.65,667.73,0.0644,3
Murray Hill,1298634,15441723.86,1454285.21,0.0942,3
East Brooklyn,699,15379.48,1220.35,0.0793,3
Nkew Gardens,4455,106599.16,8659.11,0.0812,3
Springfield Gardens,841,38219.15,3160.63,0.0827,3
Woodlawn-Nordwood,176,3035.64,373.04,0.1229,3
Hamilton Heights,68259,1094712.67,96653.89,0.0883,3
Bedford-Stuyvesant,20083,315267.44,28614.13,0.0908,3
Morris Park,325,6394.36,554.59,0.0867,3
Sunset Park,2122,40461.72,3079.64,0.0761,3
Country Club,94,1976.73,206.25,0.1043,3
Maspeth,3159,104252.94,9283.32,0.089,3
Throggs Neck,204,4080.68,296.57,0.0727,3
North Sutton Area,428670,5036727.9,435223.28,0.0864,3
Soundview,513,7954.56,518.94,0.0652,3
Glendale,461,8113.36,605.31,0.0746,3
Little Italy,374046,4901659.32,476993.43,0.0973,3
Riverdale,396,8530.28,853.93,0.1001,3
Fordham,436,8131.09,524.62,0.0645,3
Eastchester,2,16,1,0.0625,3
Yorkville,301319,3880078.84,315459.74,0.0813,3
Kings Bridge,555,9904.25,702.92,0.071,3
Spuyten Duyvil,167,3616.51,269.06,0.0744,3
Battery Park,329903,5464043.17,567031.47,0.1038,3
Financial District,651915,10908811.4,1069290.99,0.098,4
Williamsburg,147088,2291288.56,224486.98,0.098,4
West Village,928776,11493335.33,1135066.24,0.0988,4
Ridgewood,1022,14737.67,1022.91,0.0694,4
Jackson Heights,21465,409269.42,27575.35,0.0674,4
Williams Bridge,200,3503.24,231.51,0.0661,4
Cobble Hill,22948,418203.48,44594.49,0.1066,4
Inwood,2018,36508.88,2784.14,0.0763,4
Queens Village,227,3523.74,195.8,0.0556,4
Auburndale,169,3732.41,258,0.0691,4
Gramercy,2882998,32992889.98,3216242.42,0.0975,4
Chelsea,2425516,28403724.18,2789123.4,0.0982,4
University Heights,566,8554.26,532.13,0.0622,4
Greenwood,3747,68337.13,6991.67,0.1023,4
Woodhaven-Richmond Hill,1080,21304.22,1675.04,0.0786,4
Park Slope,39082,595491.04,56054.06,0.0941,4
Chinatown,122669,1690572.34,135028.59,0.0799,4
Corona,1616,63594.22,6894.3,0.1084,4
South Bronx,2165,30599.7,1579.53,0.0516,4
Sunny Side,110788,1861923.95,145581.02,0.0782,4
Soho,819837,10386729.55,1021121.76,0.0983,4
Clearview,58,1396.66,129.9,0.093,4
Dyker Heights,333,5596.08,384.06,0.0686,4
Upper West Side,2961230,34441620.73,3000464.65,0.0871,4
Harlem,145575,1960946.43,160514.97,0.0819,4
Bay Ridge,1424,25939.63,2140.81,0.0825,4
Wakefield-Williamsbridge,215,4037,262.54,0.065,4
Jamaica,7131,373117.82,32453.47,0.087,4
Bedford Park,540,8907.95,515.08,0.0578,4
East Village,1265854,15838675.48,1547456.56,0.0977,4
Hunts Point,352,5101.77,367.04,0.0719,4
Gravesend-Sheepshead Bay,1690,28642.29,2284.51,0.0798,4
Lower East Side,782298,10622216.3,1016311.76,0.0957,4
Mapleton-Flatlands,3769,55749.04,4350.18,0.078,4
Baychester,36,756.05,40.24,0.0532,4
Upper East Side,4886057,55578555.37,4736613.23,0.0852,4
Union Port,437,6996.86,450.72,0.0644,4
Central Park,458231,5248035.75,437481.78,0.0834,4
Woodside,28672,442041.66,27292.31,0.0617,4
Greenwich Village,1679215,19882970.56,1900649.87,0.0956,4
Forest Hills,13791,264854.11,18793.45,0.071,4
Middle Village,578,9895.92,716.92,0.0724,4
Downtown,75915,1246874.3,116066.64,0.0931,4
Morris Heights,2404,32660.58,2544.59,0.0779,4
Steinway,92,1223.5,100.27,0.082,4
Utopia,2473,78900.65,6467.6,0.082,4
Boerum Hill,47939,725375.48,67536.9,0.0931,4
Fort Green,79082,1226306.41,111864.93,0.0912,4
Brownsville,542,11242.39,935.91,0.0832,4
Bushwick,7490,113231.17,10062.45,0.0889,4
Clinton,1131374,13516689.19,1187574.2,0.0879,4
City Island,3,109,14,0.1284,4
Borough Park,4881,84103.54,7329.35,0.0871,4
Parkchester,2539,34920.39,2793.21,0.08,4
Astoria-Long Island City,157768,2344617.83,173070.79,0.0738,4
Garment District,1901523,22154508.33,1823698.2,0.0823,4
Morningside Heights,245446,3388023.17,310842.07,0.0917,4
Flushing,3868,97543.69,8062.69,0.0827,4
East Harlem,101920,1301206.14,90411.86,0.0695,4
College Point,1,14.9,2.4,0.1611,4
Mott Haven,7098,100148.15,5019.85,0.0501,4
Washington Heights,39453,758207.05,68246.85,0.09,4
Carroll Gardens,59387,1056972.18,110342.89,0.1044,4
Flatbush,79,1184.85,104.95,0.0886,4
Laurelton,210,5532.38,360.7,0.0652,4
Canarsie,625,11702.13,1029.84,0.088,4
Tribeca,635433,8707751.07,881872.02,0.1013,4
The Rockaways,60,1390.36,69.9,0.0503,4
High Bridge,2193,32219.56,1792.45,0.0556,4
Midtown,5807126,67810575.76,6133617.22,0.0905,4
Saintalbans,110,2231.68,155.52,0.0697,4
Queensboro Hill,399,6912.35,516.19,0.0747,4
Tremont,841,12388.86,852.86,0.0688,4
Bensonhurst,595,11026.19,651.85,0.0591,4
Carnegie Hill,441515,5027927.03,409537.39,0.0815,4
Douglastown-Little Neck,521,9381.9,731.2,0.0779,4
Murray Hill,1186264,13570525.84,1270159.35,0.0936,4
East Brooklyn,812,17274.46,1372.62,0.0795,4
Nkew Gardens,3575,85609.43,6717.28,0.0785,4
Springfield Gardens,1036,48089.05,4133.82,0.086,4
Woodlawn-Nordwood,130,3036.47,179.16,0.059,4
Hamilton Heights,60468,935455.02,77139.22,0.0825,4
Bedford-Stuyvesant,13457,203652.78,16667.49,0.0818,4
Morris Park,269,5105.58,356.02,0.0697,4
Sunset Park,1483,27004.26,2023.27,0.0749,4
Country Club,139,2615.77,137.04,0.0524,4
Maspeth,3047,95860.15,8689.16,0.0906,4
Throggs Neck,236,3982.77,302.72,0.076,4
North Sutton Area,394826,4506626.3,380625.78,0.0845,4
Soundview,619,9392.64,615.23,0.0655,4
Glendale,413,7298.2,539.52,0.0739,4
Little Italy,326209,4104747.07,407840.49,0.0994,4
Riverdale,378,6931.66,513.62,0.0741,4
Fordham,489,7600.34,473.32,0.0623,4
Yorkville,279808,3472255.33,271543.58,0.0782,4
Kings Bridge,490,8405.5,449.16,0.0534,4
Spuyten Duyvil,202,4480.74,433.32,0.0967,4
Battery Park,287220,4689865.11,493325.58,0.1052,4
